Chemical,Type of Toxicity,CAS No.
"A-alpha-C (2-Amino-9H-pyrido[2,3-b]indole)",cancer,26148-68-5
Abiraterone acetate,"developmental, female, male ",154229-18-2
Acetaldehyde,cancer,75-07-0
Acetamide,cancer ,60-35-5
Acetazolamide   ,developmental  ,59-66-5
Acetochlor,cancer,34256-82-1
Acetohydroxamic acid,developmental,546-88-3
2-Acetylaminofluorene,cancer,53-96-3
Acifluorfen sodium,cancer,62476-59-9
Acrylamide,cancer,6/1/79
Acrylamide,"developmental, male ",6/1/79
Acrylonitrile,cancer,107-13-1
"Actinomycin D [Basis for listing changed effective February 22, 2013]",cancer,50-76-0
Actinomycin D,developmental,50-76-0
AF-2;[2-(2-furyl)-3-(5-nitro-2-furyl)]acrylamide,cancer,3688-53-7
Aflatoxins,cancer,---
Alachlor,cancer,15972-60-8
Alcoholic beverages,cancer,---
"Alcoholic beverages, when associated with alcohol abuse",cancer,---
Aldrin,cancer,309-00-2
All-trans retinoic acid,developmental ,302-79-4
"Allyl chloride  Delisted October 29, 1999 [Click here for the basis for delisting]",cancer,107-05-1
"Aloe vera, non-decolorized whole leaf extract",cancer,---
Alprazolam,developmental ,28981-97-7
Altretamine,"developmental, male ",645-05-6
Amantadine hydrochloride,developmental ,665-66-7
Amikacin sulfate,developmental,39831-55-5
2-Aminoanthraquinone,cancer,117-79-3
p-Aminoazobenzene,cancer,9/3/60
o-Aminoazotoluene,cancer,97-56-3
4-Aminobiphenyl (4-aminodiphenyl),cancer,92-67-1
2-Amino-4-chlorophenol,cancer,95-85-2
"1-Amino-2,4-dibromoanthraquinone",cancer ,81-49-2
3-Amino-9-ethylcarbazole hydrochloride,cancer,6109-97-3
2-Aminofluorene,cancer ,153-78-6
Aminoglutethimide,developmental,125-84-8
Aminoglycosides,developmental ,---
1-Amino-2-methylanthraquinone,cancer,82-28-0
"2-Amino-5-(5-nitro-2-furyl)-1,3,4-thiadiazole",cancer,712-68-5
4-Amino-2-nitrophenol,cancer ,119-34-6
Aminopterin,"developmental, female",54-62-6
Amiodarone hydrochloride,"developmental, female, male ",19774-82-4
Amitraz,developmental ,33089-61-1
Amitrole,cancer,61-82-5
Amoxapine,developmental ,14028-44-5
Amsacrine,cancer ,51264-14-3
"tert-Amyl methyl ether  Delisted December 13, 2013 [Click here for the basis for delisting]",developmental ,994-05-8
Anabolic steroids,"female, male",---
Analgesic mixtures containing Phenacetin,cancer,---
Androstenedione,cancer,5/8/63
Angiotensin converting enzyme  (ACE) inhibitors,developmental,---
Aniline,cancer,62-53-3
Aniline hydrochloride,cancer ,142-04-1
o-Anisidine,cancer,90-04-0
o-Anisidine hydrochloride,cancer,134-29-2
Anisindione,developmental,117-37-3
Anthraquinone,cancer ,84-65-1
Antimony oxide (Antimony trioxide),cancer,1309-64-4
Aramite,cancer,140-57-8
Areca nut,cancer ,  ---
Aristolochic acids,cancer ,  ---
Arsenic (inorganic arsenic compounds),cancer,--
Arsenic (inorganic oxides),developmental,---
Asbestos,cancer,1332-21-4
"Aspirin (NOTE:  It is especially  important not to use aspirin during the last three months of pregnancy,  unless specifically directed to do so by a physician because it may cause  problems in the unborn child or  complications during delivery.)","developmental, female",50-78-2
Atenolol,developmental ,29122-68-7
Atrazine,"developmental, female",1912-24-9
Auramine,cancer,492-80-8
Auranofin,developmental ,34031-32-8
Avermectin B1 (Abamectin),developmental,71751-41-2
Azacitidine,cancer,320-67-2
Azaserine,cancer,115-02-6
Azathioprine,cancer,446-86-6
Azathioprine,developmental,446-86-6
Azobenzene,cancer,103-33-3
Barbiturates,developmental,---
Beclomethasone dipropionate,developmental ,9/8/34
Benomyl,"developmental, male",17804-35-2
Benthiavalicarb-isopropyl,cancer ,177406-68-7
Benz[a]anthracene,cancer,56-55-3
Benzene,cancer,71-43-2
Benzene,"developmental, male ",71-43-2
Benzidine [and its salts],cancer,92-87-5
Benzidine-based dyes,cancer,---
Benzodiazepines,developmental,---
Benzo[b]fluoranthene,cancer,205-99-2
Benzo[j]fluoranthene,cancer,205-82-3
Benzo[k]fluoranthene,cancer,207-08-9
Benzofuran,cancer,271-89-6
Benzophenone,cancer,119-61-9
Benzo[a]pyrene,cancer,50-32-8
Benzotrichloride,cancer,7/7/98
Benzphetamine hydrochloride,developmental,5411-22-3
Benzyl chloride,cancer,100-44-7
Benzyl violet 4B,cancer,1694-09-3
Beryllium and beryllium compounds,cancer,---
   Beryllium ,,
   Beryllium oxide,,
   Beryllium sulfate,,
Betel quid with tobacco,cancer,---
Betel quid without tobacco,cancer ,  ---
Bevacizumab,"developmental, female",216974-75-3
"2,2-Bis(bromomethyl)-1,3-propanediol",cancer,3296-90-0
Bis(2-chloroethyl)ether,cancer,111-44-4
"N,N-Bis(2-chloroethyl)-2-naphthylamine  (Chlornapazine)",cancer,494-03-1
Bischloroethyl nitrosourea (BCNU) (Carmustine),cancer,154-93-8
Bischloroethyl nitrosourea (BCNU) (Carmustine),developmental,154-93-8
Bis(chloromethyl)ether,cancer,542-88-1
"Bis(2-chloro-1-methylethyl)ether,  technical grade",cancer ,---
Bisphenol A (BPA),female,5/7/80
Bisphenol A (BPA) ,developmental,5/7/80
"Bitumens, extracts of steam-refined and air refined",cancer,---
Bracken fern,cancer,---
Bromacil lithium salt,developmental ,53404-19-6
Bromacil lithium salt,male ,53404-19-6
Bromate,cancer ,15541-45-4
Bromochloroacetic acid,cancer ,5589-96-8
1-Bromo-3-chloropropane ,cancer,109-70-6
Bromodichloroacetic acid,cancer,71133-14-7
Bromodichloromethane,cancer,75-27-4
Bromoethane,cancer,74-96-4
Bromoform,cancer,75-25-2
1-Bromopropane (1-BP),cancer,106-94-5
1-Bromopropane (1-BP),"developmental, female, male ",106-94-5
2-Bromopropane (2-BP),"female, male ",75-26-3
Bromoxynil,developmental,1689-84-5
Bromoxynil octanoate,developmental ,1689-99-2
Butabarbital sodium,developmental,143-81-7
"1,3-Butadiene",cancer,106-99-0
"1,3-Butadiene","developmental, female, male ",106-99-0
"1,4-Butanediol dimethanesulfonate (Busulfan)",cancer,55-98-1
"1,4-Butanediol dimethanesulfonate (Busulfan)",developmental,55-98-1
Butylated hydroxyanisole,cancer,25013-16-5
Butyl benzyl phthalate (BBP)d,developmental ,85-68-7
1-Butyl glycidyl ether ,cancer,8/6/26
"n-Butyl glycidyl ether Delisted April 4, 2014 [Click here for the basis for delisting]",male ,8/6/26
beta-Butyrolactone,cancer,3068-88-0
Cacodylic acid,cancer,75-60-5
Cadmium,"developmental, male ",---
Cadmium and cadmium compounds,cancer,---
Cadmium,,
Cannabis (marijuana) smoke,developmental,---
Caffeic acid,cancer,331-39-5
Captafol,cancer,6/1/25
Captan,cancer,133-06-2
Carbamazepine,developmental ,298-46-4
Carbaryl,cancer ,63-25-2
"Carbaryl [Basis for listing changed effective December 27, 2013]","developmental, female, male",63-25-2
Carbazole,cancer,86-74-8
"Carbon black (airborne, unbound particles of respirable size)",cancer ,1333-86-4
Carbon-black extracts,cancer,---
Carbon disulfide,"developmental, female, male",75-15-0
Carbon monoxide,developmental,630-08-0
Carbon tetrachloride,cancer,56-23-5
Carboplatin,developmental,41575-94-4
N-Carboxymethyl-N-nitrosourea,cancer,60391-92-6
Catechol,cancer ,120-80-9
Ceramic fibers (airborne particles of respirable size),cancer,---
Certain combined chemotherapy for lymphomas,cancer,---
Chenodiol,developmental,474-25-9
Chloral,cancer,75-87-6
Chloral hydrate,cancer,302-17-0
