Table 1
Region,Market,Chart,Name,Unit,Source,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Worldwide,Beauty & Personal Care,Revenue by Segment,Total,billion USD (US$),Statista,492.6,458,464.2,484.5,500.7,508,471.9,503.6,528.6,571.1,590.9,611.2,634.7,663
Worldwide,Beauty & Personal Care,Revenue by Segment,Cosmetics,billion USD (US$),Statista,82.25,77.85,79.59,83.77,87.58,89.88,72.37,80.74,93.05,103.8,108.4,113.2,118.5,125.4
Worldwide,Beauty & Personal Care,Revenue by Segment,Fragrances,billion USD (US$),Statista,54.44,49.41,49.56,51.86,53.08,53.28,46.54,50.58,53.44,58.27,59.87,61.49,63.55,66.21
Worldwide,Beauty & Personal Care,Revenue by Segment,Personal Care,billion USD (US$),Statista,224.9,208.9,210.7,219.2,225.4,227.7,224.3,235.9,238.6,253.3,261.3,269.6,279.1,289.9
Worldwide,Beauty & Personal Care,Revenue by Segment,Skin Care,billion USD (US$),Statista,131,121.9,124.4,129.6,134.7,137.1,128.7,136.4,143.5,155.7,161.3,166.9,173.6,181.5
Worldwide,Beauty & Personal Care,Revenue Change by Segment,Total,percent,Statista,,-7.024,1.354,4.373,3.344,1.458,-7.106,6.718,4.964,8.04,3.467,3.435,3.845,4.459
Worldwide,Beauty & Personal Care,Revenue Change by Segment,Cosmetics,percent,Statista,,-5.35,2.235,5.252,4.548,2.626,-19.482,11.566,15.246,11.553,4.432,4.428,4.682,5.823
Worldwide,Beauty & Personal Care,Revenue Change by Segment,Fragrances,percent,Statista,,-9.24,0.304,4.641,2.352,0.377,-12.65,8.681,5.654,9.038,2.746,2.706,3.35,4.186
Worldwide,Beauty & Personal Care,Revenue Change by Segment,Personal Care,percent,Statista,,-7.114,0.862,4.034,2.828,1.02,-1.493,5.172,1.145,6.161,3.158,3.176,3.524,3.87
Worldwide,Beauty & Personal Care,Revenue Change by Segment,Skin Care,percent,Statista,,-6.947,2.051,4.18,3.935,1.782,-6.127,5.983,5.205,8.502,3.597,3.472,4.014,4.551
Worldwide,Beauty & Personal Care,Average Revenue per Capita,Total,thousand USD (US$),Statista,"69,920","64,260","64,400","66,470","67,970","68,270","62,830","66,490","69,270","74,230","76,200","78,180","80,530","83,460"
Worldwide,Beauty & Personal Care,Average Revenue per Capita,Cosmetics,thousand USD (US$),Statista,0.012,0.011,0.011,0.011,0.012,0.012,0.01,0.011,0.012,0.013,0.014,0.014,0.015,0.016
Worldwide,Beauty & Personal Care,Average Revenue per Capita,Fragrances,thousand USD (US$),Statista,0.008,0.007,0.007,0.007,0.007,0.007,0.006,0.007,0.007,0.008,0.008,0.008,0.008,0.008
Worldwide,Beauty & Personal Care,Average Revenue per Capita,Personal Care,thousand USD (US$),Statista,0.032,0.029,0.029,0.03,0.031,0.031,0.03,0.031,0.031,0.033,0.034,0.034,0.035,0.036
Worldwide,Beauty & Personal Care,Average Revenue per Capita,Skin Care,thousand USD (US$),Statista,0.019,0.017,0.017,0.018,0.018,0.018,0.017,0.018,0.019,0.02,0.021,0.021,0.022,0.023
Worldwide,Beauty & Personal Care,Online Revenue Share,Offline,percent,Statista,,,,84.174,82.966,81.595,78.26,76.42,74.612,72.538,69.965,67.027,,
Worldwide,Beauty & Personal Care,Online Revenue Share,Online,percent,Statista,,,,15.826,17.034,18.405,21.74,23.58,25.388,27.462,30.035,32.973,,
Worldwide,Beauty & Personal Care,Mobile/Desktop Split,Desktop,percent,Statista,,,,57.766,53.902,50.669,49.025,46.199,43.4,40.733,38.724,36.721,,
Worldwide,Beauty & Personal Care,Mobile/Desktop Split,Mobile,percent,Statista,,,,42.234,46.098,49.331,50.975,53.801,56.6,59.267,61.276,63.279,,
Worldwide,Cosmetics,Revenue,Total,billion USD (US$),Statista,82.25,77.85,79.59,83.77,87.58,89.88,72.37,80.74,93.05,103.8,108.4,113.2,118.5,125.4
Worldwide,Cosmetics,Revenue,Eyes,billion USD (US$),Statista,22.19,20.92,21.2,22.17,23.06,23.48,22.23,23.49,24.55,26.53,27.47,28.46,29.55,30.84
Worldwide,Cosmetics,Revenue,Face,billion USD (US$),Statista,24.63,23.2,23.88,25.04,26.21,26.89,19.34,22.98,27.92,31.14,32.45,33.83,35.38,37.34
Worldwide,Cosmetics,Revenue,Lips,billion USD (US$),Statista,17.03,16.21,16.6,17.56,18.37,18.92,9.914,11.78,17.7,21.16,22.17,23.15,24.23,26
Worldwide,Cosmetics,Revenue,Nails,billion USD (US$),Statista,10.43,9.796,9.826,10.27,10.59,10.75,10.07,10.56,11.15,12.05,12.46,12.9,13.4,13.97
Worldwide,Cosmetics,Revenue,Natural Cosmetics,billion USD (US$),Statista,7.957,7.727,8.079,8.722,9.351,9.852,10.81,11.92,11.75,12.93,13.87,14.87,16,17.26
