Risk,ESG
AMOREPACIFIC US INC.,AMOREPACIFIC Group
AMOREPACIFIC US INC.,Amorepacific Corporation
COLGATE-PALMOLIVE COMPANY,Colgate-Palmolive (India) Limited
Coty,Coty Inc.
"Edgewell Personal Care Brands, LLC",Edgewell Personal Care Company
Estee Lauder Inc.,The Estée Lauder Companies Inc.
"Herbalife International of America, Inc.",Herbalife Nutrition Ltd.
Interparfums,"Inter Parfums, Inc."
LES SALONS DU PALAIS ROYAL SHISEIDO,"Shiseido Company, Limited"
"Revlon, Inc.","Revlon, Inc."
"Shiseido America, Inc.","Shiseido Company, Limited"
The Procter & Gamble Company,Procter & Gamble Hygiene and Health Care Limited
